Sample,Time,Replicate,Line
28,2,1,0
29,2,2,0
30,2,3,0
31,2,1,1
32,2,2,1
33,2,3,1
34,10,1,0
35,10,2,0
36,10,3,0
37,10,1,1
38,10,2,1
39,10,3,1
1,24,1,0
2,24,2,0
3,24,3,0
4,24,1,1
5,24,2,1
6,24,3,1
40,48,1,0
41,48,2,0
42,48,3,0
43,48,1,1
44,48,2,1
45,48,3,1
7,72,1,0
8,72,2,0
9,72,3,0
10,72,1,1
11,72,2,1
12,72,3,1
