"factor","coef","HR","LB_2.5%","UB_97.5%","pval","test"
"Wol1",-2.41885817593034,0.089023208290905,0.0566544823729683,0.139885341502779,0,"coxme"
"Wol1",-2.45872639084236,0.0855438310238564,0.0650388327674424,0.112513504853385,0,"weibull"
